cliente_id,fecha,monto,tipo_transaccion,estado,sucursal
1028,2025-11-25 13:48:57.120367,567.07,Transferencia,Completado,Sur
1016,2025-12-13 13:48:57.120367,568.76,Transferencia,Completado,Sur
1025,2026-01-12 13:48:57.120367,605.83,Deposito,Pendiente,Oeste
1013,2025-11-25 13:48:57.120367,475.7,Retiro,Cancelado,Sur
1023,2025-11-08 13:48:57.120367,232.38,Retiro,Pendiente,Norte
1040,2025-12-25 13:48:57.120367,211.66,Transferencia,Completado,Este
1008,2026-01-12 13:48:57.120367,46.48,Deposito,Completado,Sur
1042,2025-12-08 13:48:57.120367,,Deposito,Pendiente,Sur
1044,2025-12-07 13:48:57.120367,296.8,Deposito,,Este
1037,2025-11-16 13:48:57.120367,196.0,Transferencia,Completado,Oeste
1050,2026-02-02 13:48:57.120367,476.02,Retiro,Completado,Centro
1011,2025-11-19 13:48:57.120367,6127.24,Pago,Completado,Centro
1050,2025-12-11 13:48:57.120367,503.85,Retiro,Completado,Centro
1035,2026-01-05 13:48:57.120367,4381.9,Deposito,Completado,Centro
1008,2025-12-23 13:48:57.120367,4519.83,Retiro,Completado,Centro
1001,2025-12-11 13:48:57.120367,229.86,Deposito,Completado,Este
1043,2026-02-01 13:48:57.120367,985.81,Deposito,Completado,Norte
1044,2025-12-05 13:48:57.120367,,Pago,Completado,Sur
1005,2026-01-11 13:48:57.120367,189.02,Deposito,Completado,Centro
1024,2025-12-08 13:48:57.120367,604.24,Transferencia,Completado,Sur
1032,2026-01-11 13:48:57.120367,699.5,Pago,Completado,Norte
1044,2025-12-08 13:48:57.120367,2218.01,Pago,Completado,Oeste
1042,2025-12-31 13:48:57.120367,7225.97,Transferencia,Completado,Este
1018,2026-01-04 13:48:57.120367,7532.03,Retiro,,Sur
1037,2025-12-29 13:48:57.120367,283.65,Deposito,Pendiente,Sur
1007,2025-11-21 13:48:57.120367,17.45,Transferencia,Cancelado,Sur
1039,2025-11-21 13:48:57.120367,651.52,Transferencia,Cancelado,Oeste
1015,2025-11-23 13:48:57.120367,113.97,Transferencia,Completado,Este
1047,2026-01-15 13:48:57.120367,268.69,Transferencia,Pendiente,Este
1029,2025-11-30 13:48:57.120367,39.75,Pago,,Sur
1039,2026-01-23 13:48:57.120367,,Pago,Pendiente,Norte
1021,2026-01-17 13:48:57.120367,214.85,Transferencia,Completado,Centro
1037,2025-12-02 13:48:57.120367,87.44,Deposito,Pendiente,Norte
1041,2026-02-02 13:48:57.120367,53155.54,Transferencia,Completado,Norte
1006,2025-11-19 13:48:57.120367,539.11,Transferencia,Completado,Este
1033,2025-12-07 13:48:57.120367,133.03,Pago,Pendiente,Oeste
1033,2026-02-03 13:48:57.120367,339.27,Retiro,Completado,Oeste
1011,2025-12-14 13:48:57.120367,878.35,Pago,,Norte
1035,2026-01-26 13:48:57.120367,147.9,Deposito,Completado,Centro
1044,2025-11-06 13:48:57.120367,169.45,Pago,Completado,Sur
1002,2026-01-11 13:48:57.120367,1240.98,Transferencia,Completado,Norte
1028,2025-11-18 13:48:57.120367,395.18,Retiro,Completado,Centro
1024,2025-12-02 13:48:57.120367,238.1,Deposito,Completado,Este
1028,2026-02-03 13:48:57.120367,36.56,Pago,Completado,Centro
1027,2026-01-31 13:48:57.120367,993.84,Deposito,Completado,Oeste
1005,2025-12-19 13:48:57.120367,113.25,Transferencia,Pendiente,Sur
1048,2025-11-14 13:48:57.120367,5001.33,Deposito,Cancelado,Oeste
1009,2026-01-24 13:48:57.120367,112.18,Pago,Completado,Norte
1025,2025-12-29 13:48:57.120367,298.78,Pago,Pendiente,Sur
1023,2025-11-17 13:48:57.120367,375.6,Transferencia,Completado,Norte
1008,2025-12-15 13:48:57.120367,855.89,Deposito,Completado,Oeste
1030,2025-11-30 13:48:57.120367,108.49,Transferencia,Cancelado,Este
1030,2025-11-30 13:48:57.120367,206.2,Transferencia,Pendiente,Norte
1035,2025-11-26 13:48:57.120367,1405.2,Deposito,Completado,Este
1035,2025-11-13 13:48:57.120367,273.79,Pago,Completado,Este
1034,2025-12-23 13:48:57.120367,306.18,Retiro,Completado,Oeste
1024,2026-01-16 13:48:57.120367,,Transferencia,Completado,Oeste
1017,2025-11-16 13:48:57.120367,178.12,Transferencia,Completado,Sur
1045,2025-12-08 13:48:57.120367,40.4,Transferencia,Pendiente,Este
1002,2025-11-22 13:48:57.120367,41.6,Retiro,,Este
1047,2025-12-10 13:48:57.120367,1422.62,Transferencia,,Sur
1007,2025-12-10 13:48:57.120367,8409.2,Pago,Completado,Centro
1004,2025-11-08 13:48:57.120367,7334.28,Retiro,Completado,Este
1002,2025-12-29 13:48:57.120367,210.42,Transferencia,Completado,Centro
1026,2025-12-11 13:48:57.120367,,Transferencia,Completado,Norte
1013,2025-11-28 13:48:57.120367,,Retiro,Pendiente,Oeste
1049,2025-12-08 13:48:57.120367,3978.84,Deposito,,Oeste
1042,2025-11-22 13:48:57.120367,,Retiro,Completado,Sur
1039,2025-11-12 13:48:57.120367,145.96,Transferencia,Pendiente,Sur
1024,2026-01-03 13:48:57.120367,343.51,Retiro,Completado,Centro
1039,2026-01-14 13:48:57.120367,404.53,Pago,Pendiente,Norte
1035,2025-11-24 13:48:57.120367,1065.65,Retiro,Completado,Centro
1023,2026-01-02 13:48:57.120367,91.76,Pago,Completado,Centro
1021,2026-01-06 13:48:57.120367,764.36,Pago,Completado,Oeste
1037,2026-01-10 13:48:57.120367,3083.92,Deposito,Completado,Centro
1007,2025-12-02 13:48:57.120367,374.57,Transferencia,Completado,Norte
1012,2025-12-07 13:48:57.120367,1404.68,Retiro,Completado,Norte
1018,2025-11-29 13:48:57.120367,695.48,Pago,Pendiente,Oeste
1039,2025-11-11 13:48:57.120367,2239.68,Transferencia,Cancelado,Norte
1020,2025-11-24 13:48:57.120367,6084.11,Transferencia,Pendiente,
1044,2025-12-01 13:48:57.120367,536.13,Transferencia,Pendiente,Norte
1010,2025-11-17 13:48:57.120367,352.44,Deposito,Pendiente,
1001,2025-12-16 13:48:57.120367,546.13,Pago,,Este
1041,2026-01-09 13:48:57.120367,674.31,Retiro,Completado,Centro
1027,2025-12-20 13:48:57.120367,142.42,Retiro,Completado,Este
1020,2025-12-25 13:48:57.120367,3292.48,Transferencia,Completado,Norte
1002,2025-12-06 13:48:57.120367,58.16,Transferencia,Completado,Este
1042,2026-01-31 13:48:57.120367,152.34,Retiro,Completado,Este
1003,2025-12-24 13:48:57.120367,,Retiro,Completado,Oeste
1040,2026-01-25 13:48:57.120367,133.11,Retiro,Completado,Este
1003,2026-01-30 13:48:57.120367,992.12,Retiro,Cancelado,Norte
1036,2026-01-13 13:48:57.120367,188.89,Pago,Pendiente,Sur
1035,2025-11-25 13:48:57.120367,456.73,Deposito,Completado,Centro
1028,2025-11-22 13:48:57.120367,,Transferencia,Completado,Sur
1036,2026-01-30 13:48:57.120367,55.23,Retiro,Completado,Este
1026,2025-11-07 13:48:57.120367,379.89,Pago,Completado,Norte
1014,2026-01-24 13:48:57.120367,890.64,Deposito,Cancelado,Centro
1038,2025-11-07 13:48:57.120367,,Retiro,Cancelado,Este
1001,2025-11-22 13:48:57.120367,47.95,Deposito,Completado,Sur
1034,2025-12-13 13:48:57.120367,1393.1,Deposito,,Oeste
1030,2025-11-24 13:48:57.120367,,Deposito,Completado,Norte
1008,2025-12-15 13:48:57.120367,855.89,Deposito,Completado,Oeste
1004,2025-11-28 13:48:57.120367,2553.75,Retiro,Completado,Centro
1033,2025-11-12 13:48:57.120367,2380.88,Retiro,Pendiente,Sur
1013,2026-01-29 13:48:57.120367,198.78,Deposito,Completado,Centro
1044,2025-12-08 13:48:57.120367,120.65,Pago,Completado,Oeste
1025,2025-12-13 13:48:57.120367,53.89,Deposito,Completado,Sur
1002,2025-12-28 13:48:57.120367,,Pago,Completado,Sur
1008,2025-11-27 13:48:57.120367,802.44,Pago,Pendiente,Norte
1039,2025-12-08 13:48:57.120367,37.62,Transferencia,Pendiente,Oeste
1026,2025-12-05 13:48:57.120367,376.95,Deposito,Completado,Oeste
1040,2025-11-25 13:48:57.120367,177.4,Deposito,Completado,Sur
1027,2026-01-13 13:48:57.120367,43.04,Retiro,Completado,Norte
1028,2026-01-20 13:48:57.120367,1980.37,Deposito,Pendiente,Sur
1024,2026-01-30 13:48:57.120367,99.05,Deposito,Completado,Norte
1022,2025-11-07 13:48:57.120367,4400.5,Transferencia,Pendiente,Centro
1024,2025-11-08 13:48:57.120367,778.24,Retiro,Completado,Este
1003,2025-11-07 13:48:57.120367,194.55,Retiro,,Norte
1048,2025-12-29 13:48:57.120367,96.39,Deposito,Completado,
1001,2025-12-23 13:48:57.120367,818.49,Retiro,Completado,Sur
1036,2026-01-01 13:48:57.120367,60.28,Pago,Completado,Norte
1024,2025-12-08 13:48:57.120367,604.24,Transferencia,Completado,Sur
1015,2025-11-24 13:48:57.120367,24.25,Retiro,Completado,Oeste
1007,2025-12-27 13:48:57.120367,787.95,Retiro,Pendiente,Este
1012,2025-12-05 13:48:57.120367,533.43,Retiro,Pendiente,Sur
1014,2026-01-03 13:48:57.120367,945.44,Retiro,Pendiente,Norte
1027,2026-01-19 13:48:57.120367,,Transferencia,Pendiente,Centro
1045,2026-01-28 13:48:57.120367,247.41,Transferencia,Cancelado,Este
1033,2026-01-01 13:48:57.120367,2276.28,Pago,Cancelado,Norte
