,Promedio,Mediana,Desv_Std,Mínimo,Máximo,Rango,CV_%
Ene,38415.231323529406,38419.149999999994,15.971885873205732,38384.41,38438.98,54.56999999999971,0.04
Feb,38491.974117647056,38474.68,106.52227577871571,38362.1,38647.94,285.8400000000038,0.28
Mar,38812.75411764706,38826.56,64.08136381657077,38663.05,38894.11,231.05999999999767,0.17
Abr,38990.5325,38987.8,56.45794707795914,38899.12,39075.41,176.29000000000087,0.14
May,39150.52102941176,39152.84,28.20907004846261,39081.9,39189.45,107.54999999999563,0.07
Jun,39232.028088235296,39231.785,23.028203919972267,39194.5,39267.07,72.56999999999971,0.06
Jul,39243.957794117654,39252.53,35.447313382642285,39179.01,39290.61,111.59999999999854,0.09
Ago,39235.32323529412,39218.369999999995,78.32695071884685,39133.45,39383.07,249.62000000000262,0.2
Sep,39485.649999999994,39485.65,7.385376650527938e-12,39485.65,39485.65,0.0,0.0
Oct,39529.66102941177,39523.805,38.50553167225035,39485.65,39597.67,112.0199999999968,0.1
Nov,39642.39,39643.59,2.1958638805298087,39638.49,39643.59,5.099999999998545,0.01
Dic,39676.73897058824,39672.33,29.00082516536192,39643.59,39727.96,84.37000000000262,0.07
