Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,38419.17,38379.45,38663.05,38899.12,39081.9,39194.5,39269.69,39173.95,39485.65,39485.65,39638.49,39643.59
2,38421.65,38379.45,38678.15,38904.13,39088.4,39194.5,39272.3,39168.88,39485.65,39485.65,39638.49,39643.59
3,38424.12,38376.97,38693.27,38909.14,39151.58,39197.03,39274.92,39163.82,39485.65,39485.65,39638.49,39643.59
4,38426.6,38374.49,38708.39,38914.15,39101.4,39199.55,39277.53,39158.75,39485.65,39485.65,39638.49,39643.59
5,38429.08,38372.01,38723.520000000004,38919.16,39107.9,39202.08,39280.15,39153.69,39485.65,39485.65,39638.49,39643.59
6,38431.555,38369.54,38738.65,38924.18,39114.4,39204.61,39282.76,39148.63,39485.65,39485.65,39638.49,39643.59
7,38434.03,38367.06,38753.79,38929.19,39120.91,39207.13,39285.38,39143.57,39485.65,39485.65,39638.49,39643.59
8,38436.51,38364.58,38768.93,38934.2,39127.41,39209.66,39288.0,39138.51,39485.65,39485.65,39638.49,39643.59
9,38438.98,38362.1,38784.08,38939.22,39133.92,39212.19,39290.61,39133.45,39485.65,39485.65,39643.59,39643.59
10,38436.5,38377.09,38789.07,38945.69,39136.44,39214.8,39285.53,39144.76,39485.65,39490.74,39643.59,39647.42
11,38434.02,38392.09,38794.07,38952.17,39138.965,39217.41,39280.45,39156.08,39485.65,39495.82,39643.59,39651.25
12,38431.53,38407.09,38799.07,38958.65,39141.49,39220.03,39275.37,39167.4,39485.65,39500.91,39643.59,39655.08
13,38429.05,38422.1,38804.06,38965.12,39144.01,39222.64,39270.3,39178.72,39485.65,39505.99,39643.59,39658.92
14,38426.57,38437.12,38809.06,38971.6,39146.53,39225.25,39265.22,39190.04,39485.65,39511.08,39643.59,39662.75
15,38424.09,38452.14,38814.06,38978.08,39149.06,39227.86,39260.145000000004,39201.37,39485.65,39516.17,39643.59,39666.58
16,38421.61,38467.16,38819.06,38984.56,39151.58,39230.48,39255.07,39212.7,39485.65,39521.26,39643.59,39670.41
16,38421.61,38467.16,38869.08,38984.56,39151.58,39230.48,39255.07,39212.7,39485.65,39521.26,39643.59,39670.41
17,38419.13,38482.2,38824.06,38991.04,39154.1,39233.09,39249.99,39224.04,39485.65,39526.35,39643.59,39674.25
18,38416.64,38497.23,38829.06,38997.53,39156.63,39235.7,39244.92,39235.38,39485.65,39531.44,39643.59,39678.085
19,38414.16,38512.28,38834.06,39004.015,39159.15,39238.31,39239.84,39246.72,39485.65,39536.53,39643.59,39681.92
20,38411.68,38527.33,38839.06,39010.5,39161.67,39240.93,39234.77,39258.06,39485.65,39541.62,39643.59,39685.75
21,38409.2,38542.38,38844.06,39016.98,39164.2,39243.54,39229.7,39269.41,39485.65,39546.71,39643.59,39689.59
22,38406.72,38557.45,38849.06,39023.47,39166.72,39246.15,39224.63,39280.76,39485.65,39551.81,39643.59,39693.42
23,38404.24,38572.51,38854.06,39062.41,39169.25,39248.77,39219.56,39292.12,39485.65,39556.9,39643.59,39697.26
24,38401.76,38587.59,38859.07,39036.45,39171.77,39251.38,39214.48,39303.48,39485.65,39562.0,39643.59,39701.09
24,38401.759999999995,38587.59,38859.07,39036.45,39171.77,39251.38,39214.48,39303.48,39485.65,39562.0,39643.59,39701.09
25,38399.28,38602.67,38864.07,39042.94,39174.3,39254.0,39209.42,39314.84,39485.65,39567.09,39643.59,39704.93
26,38396.8,38617.75,38869.08,39049.43,39176.82,39256.61,39204.35,39326.2,39485.65,39572.19,39643.59,39708.77
27,38394.32,38632.84,38874.08,39055.92,39179.35,39259.23,39199.28,39337.57,39485.65,39577.28,39643.59,39712.6
28,38391.84,38647.94,38879.09,39062.41,39181.87,39261.84,39194.21,39348.945,39485.65,39582.38,39643.59,39716.44
28,38403.01,38647.94,38879.09,39062.41,39181.87,39261.84,39194.21,39297.884999999995,39485.65,39582.38,39643.59,39716.44
29,38389.36,38647.94,38884.1,39068.91,39184.4,39264.46,39189.14,39360.32,39485.65,39587.475,39643.59,39720.28
30,38386.88,38647.94,38889.1,39075.41,39186.92,39267.07,39184.08,39371.69,39485.65,39592.57,39643.59,39724.12
31,38384.41,38647.94,38894.11,39068.91,39189.45,39264.455,39179.01,39383.07,39485.65,39597.67,39643.59,39727.96
