name,slug,igdb_rating,genres,platforms,developers,release_year
Resonite,resonite,100.0,"[""Indie""]",,,Resonite
Grand Theft Auto V: Story Mode,grand-theft-auto-v-story-mode,99.7,"[""Shooter"", ""Arcade""]","[{""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 5""}]","[{""name"": ""Rockstar Games""}]",Grand
Bubsy 3D: Bubsy Visits the James Turrell Retrospective,bubsy-3d-bubsy-visits-the-james-turrell-retrospective,99.7,"[""Platform""]",,,Bubsy
Flimbo's Quest,flimbos-quest,99.7,"[""Platform""]",,,Flimbo's
Metal Gear Solid: The Legacy Collection,metal-gear-solid-the-legacy-collection,99.6,"[""Shooter"", ""Tactical"", ""Adventure""]","[{""name"": ""PlayStation 3""}]","[{""name"": ""Kojima Productions""}]",Metal
Metal Gear Solid: The Legacy Collection,metal-gear-solid-the-legacy-collection-2,99.6,"[""Shooter"", ""Tactical"", ""Adventure""]",,,Metal
Wizardry: Bane of the Cosmic Forge,wizardry-bane-of-the-cosmic-forge,99.5,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}]","[{""name"": ""Satellaview""}, {""name"": ""Linux""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""Mac""}, {""name"": ""DOS""}, {""name"": ""FM Towns""}, {""name"": ""Amiga""}, {""name"": ""Super Famicom""}]","[{""name"": ""Sir-tech Software""}, {""name"": ""Game Studio""}]",Wizardry
Deluxe Ski Jump 2,deluxe-ski-jump-2,99.5,"[""Sport"", ""Indie"", ""Arcade""]",,,Deluxe
Outer Wilds: Archaeologist Edition,outer-wilds-archaeologist-edition,99.5,"[""Puzzle"", ""Simulator"", ""Adventure"", ""Indie""]","[{""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 4""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""PlayStation 5""}, {""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}]","[{""name"": ""Mobius Digital""}]",Outer
MLB Power Pros 2008,mlb-power-pros-2008-2,99.4,"[""Simulator"", ""Sport""]",,,MLB
Lizards Must Die,lizards-must-die,99.4,"[{""name"": ""Hack and slash/Beat 'em up""}, {""name"": ""Indie""}]","[{""name"": ""PC (Microsoft Windows)""}]","[{""name"": ""The Bratans""}]",Lizards
MLB Power Pros 2008,mlb-power-pros-2008,99.4,"[{""name"": ""Simulator""}, {""name"": ""Sport""}]","[{""name"": ""Wii""}, {""name"": ""Nintendo DS""}, {""name"": ""PlayStation 2""}]","[{""name"": ""Konami""}]",MLB
Lizards Must Die,lizards-must-die-2,99.4,"[""Hack and slash/Beat 'em up"", ""Indie""]",,,Lizards
Golden Axe Warrior,golden-axe-warrior,99.4,"[{""name"": ""Role-playing (RPG)""}]","[{""name"": ""Sega Master System/Mark III""}]","[{""name"": ""Sega Enterprises, Ltd.""}]",Golden
Golden Axe Warrior,golden-axe-warrior-2,99.4,"[""Role-playing (RPG)""]",,,Golden
Batman: Arkham Collection,batman-arkham-collection,99.4,"[{""name"": ""Hack and slash/Beat 'em up""}, {""name"": ""Adventure""}]","[{""name"": ""PlayStation 4""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""Xbox One""}]","[{""name"": ""Rocksteady Studios""}]",Batman
Fuga: Melodies of Steel 2,fuga-melodies-of-steel-2-2,99.3,"[""Role-playing (RPG)"", ""Simulator"", ""Strategy"", ""Turn-based strategy (TBS)"", ""Tactical""]",,,Fuga
Grand Theft Auto V: Special Edition,grand-theft-auto-v-special-edition,99.3,"[{""name"": ""Shooter""}, {""name"": ""Racing""}, {""name"": ""Sport""}]","[{""name"": ""PlayStation 3""}, {""name"": ""Xbox 360""}]","[{""name"": ""Rockstar Games""}]",Grand
Scaler,scaler,99.2,"[""Platform""]","[{""name"": ""Xbox""}, {""name"": ""Nintendo GameCube""}, {""name"": ""PlayStation 2""}]","[{""name"": ""A2M""}]",Scaler
Undertale Yellow,undertale-yellow,99.2,"[""Role-playing (RPG)"", ""Turn-based strategy (TBS)"", ""Adventure"", ""Indie""]","[{""name"": ""PC (Microsoft Windows)""}]","[{""name"": ""Team Undertale Yellow""}]",Undertale
