edad,genero,region,dispositivo,categoria_preferida,nivel_membresia,frecuencia_visitas_mes,tiempo_promedio_sesion_min,paginas_vistas_sesion,items_en_carrito,uso_cupon,dias_desde_ultima_compra,numero_compras_previas,tiene_app,calificacion_promedio_dada,monto_compra_promedio
56,Femenino,Norte,Desktop,Ropa,Bronce,9,8.2,6,4,0,171.0,9,1,3.4,218.87
69,Masculino,Oeste,Mobile,Electronica,Plata,7,1.3,18,2,0,137.0,8,1,3.1,242.95
46,Masculino,Centro,Mobile,Libros,Bronce,12,16.8,16,5,1,19.0,9,0,3.9,307.08
32,Masculino,Este,Desktop,Libros,Bronce,10,3.9,7,1,1,140.0,2,1,4.7,146.26
60,Masculino,Norte,Mobile,Ropa,Bronce,4,7.0,15,3,0,155.0,3,1,4.0,186.45
25,Masculino,Este,Mobile,Deportes,Platino,3,1.1,15,3,0,112.0,3,1,4.8,304.82
38,Masculino,Este,Desktop,Ropa,Platino,5,4.1,26,4,0,58.0,11,1,3.4,355.2
56,Masculino,Centro,Desktop,Hogar,Bronce,10,18.3,28,6,1,25.0,4,1,4.2,330.2
36,Masculino,Sur,Mobile,Electronica,Bronce,5,2.0,18,4,1,45.0,2,0,4.1,179.53
40,Femenino,Sur,Desktop,Deportes,Bronce,4,12.5,9,5,0,102.0,5,0,4.2,242.68
28,Femenino,Norte,Mobile,Electronica,Oro,10,29.9,9,4,0,48.0,7,1,4.1,329.05
28,Femenino,Centro,Mobile,Deportes,Plata,6,13.7,20,3,1,50.0,2,1,3.1,233.25
41,Femenino,Este,Mobile,Deportes,Plata,10,20.0,10,2,0,81.0,5,1,2.9,245.0
53,Femenino,Oeste,Mobile,Hogar,Plata,11,1.4,12,3,0,44.0,2,1,4.9,267.79
57,Masculino,Oeste,Tablet,Electronica,Oro,5,3.5,14,2,0,59.0,1,1,2.6,279.09
41,Femenino,Norte,Mobile,Ropa,Bronce,8,27.0,14,4,0,161.0,6,1,3.7,257.55
20,Femenino,Norte,Desktop,Ropa,Bronce,6,15.1,28,3,0,103.0,4,0,3.6,202.92
39,Femenino,Norte,Desktop,Ropa,Bronce,9,12.2,25,2,1,78.0,7,1,3.4,273.97
19,Masculino,Centro,Tablet,Electronica,Plata,11,13.1,20,4,0,156.0,7,0,4.5,266.44
41,Masculino,Oeste,Mobile,Libros,Platino,13,6.4,27,1,0,18.0,6,0,4.4,324.63
61,Masculino,Centro,Desktop,Hogar,Bronce,4,1.0,22,3,0,161.0,6,0,4.8,162.19
47,Masculino,Centro,Tablet,Ropa,Bronce,8,18.4,20,3,1,116.0,6,0,3.5,198.0
55,Femenino,Este,Mobile,Ropa,Platino,5,13.6,6,3,0,106.0,7,0,3.9,295.35
19,Femenino,Centro,Mobile,Ropa,Bronce,11,7.7,17,4,0,143.0,4,0,4.7,208.47
38,Masculino,Centro,Mobile,Hogar,Bronce,8,27.6,10,0,0,11.0,9,0,5.0,257.7
50,Otro,Este,Desktop,Ropa,Oro,3,4.9,29,2,1,,4,0,4.9,199.32
29,Femenino,Sur,Desktop,Libros,Oro,10,4.2,21,2,0,143.0,6,1,4.3,253.86
39,Masculino,Este,Mobile,Ropa,Plata,12,24.7,23,2,0,62.0,7,1,2.9,270.8
61,Masculino,Norte,Desktop,Libros,Oro,7,19.1,4,5,0,48.0,4,1,2.6,277.35
42,Masculino,Sur,Mobile,Deportes,Oro,8,8.7,20,2,0,94.0,6,1,4.6,272.14
66,Masculino,Oeste,Desktop,Electronica,Bronce,2,1.7,6,2,1,143.0,2,1,4.6,151.11
44,Masculino,Centro,Mobile,Libros,Plata,6,2.9,9,2,0,87.0,6,1,4.4,243.86
59,Masculino,Sur,Desktop,Electronica,Plata,2,,15,3,0,171.0,4,0,3.2,174.55
45,Masculino,Oeste,Mobile,Deportes,Platino,11,5.8,25,3,0,50.0,3,0,,306.23
33,Masculino,Este,Mobile,Ropa,Platino,11,21.7,4,5,0,60.0,3,1,,286.44
32,Femenino,Este,Desktop,Deportes,Bronce,8,35.9,25,3,0,59.0,5,1,3.6,280.84
64,Masculino,Norte,Mobile,Deportes,Plata,14,19.7,14,2,1,15.0,3,1,3.5,269.04
68,Femenino,Norte,Mobile,Deportes,Bronce,13,5.7,12,6,0,29.0,4,1,4.8,347.62
61,Masculino,Sur,Tablet,Deportes,Bronce,2,18.7,9,5,0,40.0,3,0,3.1,233.49
69,Otro,Centro,Mobile,Ropa,Plata,12,5.2,20,4,1,31.0,6,1,3.9,309.35
20,Masculino,Este,Desktop,Electronica,Plata,7,2.2,11,3,0,73.0,9,1,3.4,220.71
54,Masculino,Sur,Mobile,Ropa,Plata,9,1.0,27,3,0,11.0,5,1,4.2,268.73
68,Femenino,Sur,Mobile,Electronica,Plata,6,5.8,19,1,1,81.0,6,1,3.9,205.36
24,Femenino,Sur,Mobile,Hogar,Oro,8,28.1,27,2,1,62.0,4,0,4.8,261.77
38,Femenino,Norte,Tablet,Ropa,Oro,9,3.3,19,5,0,136.0,3,0,2.8,243.09
26,Masculino,Este,Mobile,Libros,Oro,7,,26,2,1,51.0,9,0,3.1,235.38
56,Masculino,Norte,Desktop,Hogar,Bronce,8,42.0,8,5,0,57.0,3,0,4.4,277.03
35,Femenino,Norte,Tablet,Deportes,Oro,6,1.0,17,5,0,132.0,9,0,3.4,284.96
21,Femenino,Sur,Mobile,Electronica,Platino,7,18.5,7,2,0,,4,1,2.9,233.33
42,Femenino,Oeste,Desktop,Deportes,Bronce,10,4.7,17,5,1,147.0,8,1,3.8,282.52
31,Femenino,Oeste,Desktop,Libros,Plata,9,1.0,17,5,0,24.0,3,1,4.1,234.63
67,Masculino,Oeste,Mobile,Ropa,Platino,9,30.0,24,2,0,41.0,3,1,2.6,368.75
26,Femenino,Sur,Mobile,Hogar,Plata,2,1.8,25,4,1,49.0,5,0,,211.3
43,Masculino,Centro,Mobile,Deportes,Plata,6,9.6,29,1,0,174.0,8,0,4.5,209.45
19,Masculino,Este,Desktop,Electronica,Bronce,9,3.8,2,3,0,36.0,3,1,3.8,165.52
37,Masculino,Sur,Desktop,Ropa,Plata,4,1.0,25,6,0,10.0,4,0,2.6,274.63
45,Femenino,Sur,Mobile,Ropa,Plata,13,1.0,20,4,0,78.0,8,1,3.2,293.66
64,Masculino,Norte,Mobile,Electronica,Bronce,8,1.5,4,2,0,135.0,3,1,4.1,166.7
24,Masculino,Oeste,Tablet,Ropa,Plata,11,1.0,7,6,0,140.0,3,0,3.0,178.93
61,Femenino,Sur,Mobile,Electronica,Bronce,6,17.2,5,5,0,86.0,2,1,4.6,196.19
25,Masculino,Centro,Desktop,Electronica,Oro,8,8.0,5,4,0,176.0,7,0,4.2,218.09
64,Femenino,Este,Mobile,Electronica,Platino,7,5.0,5,7,0,165.0,2,1,3.7,303.65
52,Masculino,Centro,Desktop,Libros,Plata,11,6.5,11,5,0,164.0,6,0,4.8,246.77
31,Femenino,Sur,Tablet,Ropa,Plata,8,31.7,10,4,0,60.0,5,0,3.5,258.12
34,Femenino,Sur,Mobile,Libros,Plata,11,,9,3,0,96.0,6,1,3.1,255.14
53,Masculino,Norte,Mobile,Ropa,Bronce,2,15.1,20,2,0,8.0,2,1,4.2,223.81
67,Masculino,Centro,Mobile,Ropa,Platino,5,25.9,18,3,1,135.0,10,1,3.9,321.84
57,Masculino,Norte,Mobile,Ropa,Bronce,5,4.6,18,3,1,107.0,3,1,3.3,231.62
21,Masculino,Centro,Mobile,Ropa,Bronce,6,5.8,2,3,0,171.0,6,1,3.4,127.47
19,Otro,Oeste,Desktop,Electronica,Plata,12,11.4,21,3,0,,5,1,3.5,262.21
23,Masculino,Oeste,Mobile,Hogar,Plata,5,11.7,15,0,0,81.0,7,1,3.2,185.05
59,Femenino,Centro,Mobile,Electronica,Bronce,7,7.9,23,6,0,86.0,6,1,4.3,273.37
21,Masculino,Norte,Desktop,Hogar,Bronce,7,6.1,21,3,1,174.0,7,1,4.1,182.04
46,Femenino,Oeste,Desktop,Hogar,Oro,13,51.4,28,4,0,34.0,4,1,3.6,401.22
35,Femenino,Sur,Mobile,Electronica,Bronce,9,20.7,12,0,0,84.0,7,1,3.5,190.65
43,Femenino,Este,Desktop,Electronica,Bronce,8,6.9,4,1,1,117.0,2,0,3.4,109.49
61,Masculino,Norte,Desktop,Deportes,Bronce,8,15.6,25,2,0,22.0,6,0,3.2,237.92
51,Masculino,Centro,Desktop,Ropa,Bronce,4,3.8,9,1,0,149.0,7,1,2.7,169.7
27,Masculino,Este,Mobile,Electronica,Plata,10,1.3,23,4,0,15.0,5,1,3.2,337.54
53,Femenino,Este,Mobile,Libros,Plata,13,5.2,26,2,0,133.0,4,1,3.3,242.87
31,Femenino,Sur,Desktop,Electronica,Oro,6,6.2,29,4,0,102.0,5,1,3.9,310.49
48,Femenino,Norte,Desktop,Hogar,Bronce,9,1.0,11,4,1,145.0,2,0,4.4,164.72
65,Masculino,Este,Desktop,Libros,Bronce,9,20.2,18,2,0,147.0,8,0,3.5,243.86
32,Femenino,Norte,Mobile,Electronica,Bronce,9,5.3,9,5,0,5.0,5,1,,274.38
