id,edad,genero,carrera,horas_sueno,calidad_sueno,comidas_dia,consume_alcohol,fuma,dias_actividad,horas_actividad,peso_kg,talla_m,imc,nivel_estres,rendimiento
1,26,Masculino,Salud,5.9,5,3,No,No,3,1.1,75.6,1.59,29.9,2,Medio
2,18,No binario,Exactas,4.2,2,4,Sí,Sí,1,0.5,54.0,1.68,19.1,4,Bajo
3,18,Femenino,Exactas,6.2,2,4,Sí,No,2,5.2,51.7,1.66,18.8,4,Medio
4,21,Femenino,Tecnología,6.7,4,3,No,No,0,0.0,71.8,1.5,31.9,4,Bajo
5,26,Masculino,Salud,7.5,3,4,Sí,No,2,0.5,49.0,1.72,16.6,4,Medio
6,23,Masculino,Exactas,4.5,2,1,No,No,4,5.9,94.0,1.69,32.9,4,Medio
7,20,Masculino,Exactas,6.1,3,3,Sí,No,1,1.4,66.0,1.81,20.1,4,Medio
8,18,Femenino,Tecnología,6.1,2,2,Sí,No,3,1.3,69.2,1.74,22.9,2,Medio
9,21,Femenino,Exactas,4.9,2,2,Sí,No,4,2.1,55.3,1.89,15.5,3,Medio
10,26,Femenino,Exactas,6.8,3,2,No,Sí,5,2.5,61.2,1.69,21.4,2,Alto
11,20,Masculino,Salud,7.1,3,4,Sí,Sí,1,1.6,59.9,1.67,21.5,3,Medio
12,26,No binario,Tecnología,5.9,5,3,No,No,2,0.5,58.5,1.66,21.2,3,Medio
13,24,Femenino,Tecnología,8.7,3,4,Sí,No,0,0.0,72.6,1.64,27.0,2,Medio
14,21,Masculino,Sociales,5.8,3,2,No,No,7,3.9,59.6,1.5,26.5,3,Alto
15,20,Masculino,Tecnología,5.7,3,3,Sí,No,5,0.5,77.2,1.66,28.0,2,Medio
16,22,Masculino,Sociales,5.6,1,3,No,No,2,0.7,97.0,1.5,43.1,4,Medio
17,22,Masculino,Sociales,5.2,3,4,No,Sí,4,0.8,61.5,1.72,20.8,5,Bajo
18,20,Femenino,Tecnología,5.5,2,3,No,No,2,0.9,66.8,1.57,27.1,2,Medio
19,26,Masculino,Salud,4.5,5,3,No,No,3,1.4,69.6,1.6,27.2,5,Bajo
20,21,Masculino,Tecnología,6.0,2,4,No,No,0,0.0,86.7,1.62,33.0,4,Bajo
21,22,Femenino,Tecnología,6.3,3,3,No,Sí,4,0.5,64.0,1.66,23.2,3,Medio
22,21,Masculino,Salud,3.5,1,2,Sí,No,0,0.0,55.1,1.68,19.5,2,Medio
23,22,Masculino,Exactas,6.1,5,1,Sí,No,4,0.5,49.8,1.78,15.7,4,Bajo
24,24,Masculino,Sociales,6.3,3,4,No,No,4,3.3,64.3,1.63,24.2,4,Medio
25,26,Femenino,Sociales,6.8,3,1,No,No,3,1.6,59.6,1.72,20.1,4,Medio
26,24,Femenino,Sociales,7.6,1,4,No,No,0,0.0,89.1,1.93,23.9,2,Alto
27,22,Masculino,Humanidades,7.2,4,3,Sí,No,1,2.5,86.2,1.71,29.5,2,Alto
28,24,Femenino,Sociales,5.5,2,5,Sí,No,1,3.0,52.6,1.66,19.1,3,Medio
29,22,Femenino,Tecnología,5.3,4,4,Sí,No,2,2.8,56.5,1.61,21.8,3,Medio
30,20,Masculino,Salud,6.9,2,5,No,Sí,0,0.0,65.9,1.66,23.9,3,Medio
31,24,Femenino,Tecnología,5.5,2,3,Sí,No,5,0.5,81.8,1.6,32.0,3,Medio
32,19,Masculino,Salud,4.7,1,4,Sí,No,3,2.1,65.7,1.7,22.7,4,Bajo
33,26,Masculino,Salud,9.0,3,3,Sí,No,1,0.9,57.2,1.69,20.0,5,Medio
34,18,Femenino,Salud,5.8,3,3,Sí,No,2,2.8,64.3,1.5,28.6,3,Medio
35,23,No binario,Exactas,5.4,1,3,No,No,2,2.0,57.5,1.68,20.4,5,Bajo
36,24,Femenino,Tecnología,3.6,4,4,Sí,No,3,2.2,72.2,1.78,22.8,3,Medio
37,25,Masculino,Sociales,7.2,3,5,No,No,2,1.6,56.5,1.64,21.0,3,Medio
38,26,Masculino,Exactas,5.0,3,4,Sí,Sí,5,0.5,58.9,1.62,22.4,3,Bajo
39,19,Femenino,Salud,6.2,3,3,Sí,No,2,1.2,78.9,1.56,32.4,4,Medio
40,19,Masculino,Exactas,7.4,3,3,Sí,No,7,6.3,55.8,1.51,24.5,5,Medio
41,22,Masculino,Humanidades,5.0,3,4,Sí,Sí,4,4.2,47.6,1.75,15.5,4,Medio
42,22,Femenino,Humanidades,6.3,2,2,Sí,No,1,0.5,66.1,1.66,24.0,3,Medio
43,23,Masculino,Humanidades,8.0,2,2,Sí,No,5,0.5,60.7,1.75,19.8,4,Medio
44,20,Femenino,Sociales,3.3,4,3,No,No,0,0.0,71.1,1.82,21.5,2,Bajo
45,25,Masculino,Exactas,5.2,5,3,Sí,No,4,1.9,68.8,1.76,22.2,5,Bajo
46,18,Femenino,Humanidades,5.1,3,3,No,No,2,2.6,64.6,1.63,24.3,4,Medio
47,23,Masculino,Sociales,6.0,2,2,No,No,4,0.5,64.3,1.69,22.5,3,Medio
48,21,Femenino,Humanidades,6.1,3,1,No,No,4,1.1,56.2,1.62,21.4,4,Medio
49,18,Femenino,Humanidades,4.9,3,1,Sí,No,4,2.8,66.0,1.62,25.1,4,Medio
50,24,Masculino,Tecnología,5.4,1,5,Sí,No,4,2.0,75.6,1.71,25.9,2,Medio
51,26,No binario,Sociales,5.3,2,3,Sí,No,1,1.2,53.3,1.61,20.6,4,Medio
52,21,Femenino,Sociales,5.8,4,3,Sí,No,0,0.0,64.9,1.5,28.8,3,Medio
53,21,Femenino,Tecnología,6.5,3,4,No,No,2,1.1,77.5,1.6,30.3,4,Medio
54,23,Femenino,Sociales,7.3,1,2,Sí,No,0,0.0,71.1,1.65,26.1,4,Bajo
55,20,Femenino,Exactas,7.5,2,5,Sí,No,3,1.2,80.7,1.82,24.4,4,Medio
56,23,Femenino,Salud,7.0,2,4,No,No,1,1.8,58.2,1.64,21.6,4,Medio
57,24,Masculino,Humanidades,5.2,3,2,No,Sí,6,3.1,45.0,1.73,15.0,4,Medio
58,20,Masculino,Tecnología,6.2,1,3,No,No,3,1.5,67.4,1.66,24.5,2,Alto
59,24,Masculino,Salud,9.0,2,4,Sí,Sí,4,2.1,69.4,1.79,21.7,4,Medio
60,20,Masculino,Exactas,7.4,4,5,Sí,No,0,0.0,81.4,1.78,25.7,3,Medio
61,19,Masculino,Salud,5.7,2,3,Sí,No,4,0.9,79.3,1.79,24.7,3,Medio
62,21,Masculino,Humanidades,8.1,3,3,Sí,No,5,0.5,71.4,1.52,30.9,3,Alto
63,25,Femenino,Exactas,5.7,2,2,Sí,No,2,0.5,74.2,1.7,25.7,2,Medio
64,26,Masculino,Salud,5.4,1,5,Sí,No,3,1.9,62.7,1.75,20.5,4,Medio
65,24,Masculino,Tecnología,7.9,2,2,Sí,No,4,7.2,50.4,1.71,17.2,2,Alto
66,18,Femenino,Tecnología,4.6,4,5,Sí,No,0,0.0,66.4,1.74,21.9,4,Bajo
67,20,Masculino,Tecnología,3.9,4,3,Sí,No,2,0.8,76.8,1.69,26.9,3,Bajo
68,26,Femenino,Tecnología,7.3,4,3,No,No,2,2.4,72.9,1.61,28.1,1,Alto
69,18,Masculino,Sociales,6.2,3,3,No,Sí,0,0.0,75.0,1.53,32.0,4,Medio
70,26,No binario,Sociales,6.4,3,2,No,No,2,1.2,59.9,1.62,22.8,1,Alto
71,25,Femenino,Tecnología,5.8,2,2,Sí,No,0,0.0,61.8,1.92,16.8,3,Medio
72,18,Masculino,Tecnología,5.9,2,2,Sí,No,0,0.0,70.8,1.64,26.3,4,Bajo
73,23,Masculino,Tecnología,5.7,4,2,Sí,No,0,0.0,58.4,1.5,26.0,2,Medio
74,22,Femenino,Humanidades,5.4,1,4,No,No,6,0.7,58.8,1.75,19.2,4,Bajo
75,23,Femenino,Salud,5.7,1,3,No,No,2,2.3,68.6,1.76,22.1,1,Medio
76,22,Femenino,Salud,5.7,2,2,Sí,No,6,1.2,74.1,1.8,22.9,3,Medio
77,23,Femenino,Tecnología,5.2,1,5,No,No,2,0.5,62.6,1.72,21.2,4,Bajo
78,22,Masculino,Salud,5.5,2,4,Sí,Sí,1,2.1,51.0,1.76,16.5,3,Bajo
79,22,Masculino,Tecnología,3.2,3,5,Sí,No,2,0.5,56.2,1.85,16.4,2,Bajo
80,21,Masculino,Tecnología,7.0,3,5,No,No,2,2.1,67.4,1.61,26.0,3,Medio
81,20,Femenino,Tecnología,6.7,4,2,No,No,0,0.0,67.3,1.6,26.3,3,Medio
82,20,Femenino,Sociales,6.1,4,3,No,No,3,4.8,67.9,1.58,27.2,4,Medio
83,21,Masculino,Sociales,6.5,2,4,No,No,1,0.7,71.3,1.66,25.9,3,Medio
84,26,Masculino,Exactas,6.5,2,4,Sí,No,3,0.6,65.1,1.81,19.9,4,Medio
85,19,Masculino,Salud,5.3,3,2,No,No,3,0.5,68.2,1.73,22.8,5,Bajo
86,26,Masculino,Exactas,5.6,3,4,Sí,No,0,0.0,64.5,1.72,21.8,3,Medio
87,18,Femenino,Salud,6.8,2,2,No,No,0,0.0,78.8,1.52,34.1,5,Bajo
88,18,Femenino,Salud,6.4,3,2,Sí,No,4,8.0,82.2,1.62,31.3,3,Medio
89,22,Femenino,Sociales,8.7,3,3,No,Sí,2,0.7,50.7,1.51,22.2,5,Medio
90,23,Femenino,Salud,8.1,3,3,Sí,Sí,0,0.0,61.9,1.79,19.3,2,Medio
91,23,Masculino,Exactas,7.3,3,3,No,Sí,7,1.9,65.4,1.82,19.7,4,Medio
92,20,Femenino,Exactas,5.3,2,2,Sí,No,0,0.0,61.8,1.75,20.2,3,Bajo
93,24,Femenino,Tecnología,5.5,5,4,No,No,3,1.3,86.5,1.59,34.2,3,Bajo
94,26,Femenino,Sociales,5.0,4,3,Sí,No,6,0.7,67.7,1.81,20.7,4,Bajo
95,25,Femenino,Exactas,6.5,2,2,Sí,No,1,0.8,55.3,1.66,20.1,4,Medio
96,23,Femenino,Salud,3.0,4,4,Sí,Sí,0,0.0,72.2,1.57,29.3,1,Medio
97,25,Femenino,Tecnología,5.6,3,5,Sí,No,0,0.0,68.3,1.59,27.0,2,Medio
98,22,Masculino,Sociales,5.8,4,4,No,No,1,1.4,68.7,1.64,25.5,4,Medio
99,25,Masculino,Salud,4.4,4,4,Sí,Sí,0,0.0,86.7,1.68,30.7,4,Bajo
100,21,Masculino,Exactas,7.2,3,4,No,No,3,2.4,69.2,1.67,24.8,5,Medio
101,25,Masculino,Exactas,4.8,1,3,Sí,No,0,0.0,61.4,1.55,25.6,4,Bajo
